id,producto,direccion,localidad,recibe
1,sillon,04613 Superior Road,Sarandi,Sheba
2,televisor,4 Hintze Court,Bandfield,Breanne
3,plancha,44943 6th Lane,Bandfield,Griswold
4,televisor,76622 Ohio Road,Lomas,Ole
5,secarropas,53862 Northport Lane,Avellaneda,Randee
6,mesa,24120 Artisan Lane,Quilmes,Lauritz
7,pava,0348 Butternut Junction,Avellaneda,Chandal
8,pava,81473 Lukken Street,Avellaneda,Tobye
9,mesa,6614 Porter Circle,Sarandi,Anallese
10,aire acondicionado,0151 Ryan Plaza,Bandfield,Jeffry
11,plancha,056 Loomis Lane,Avellaneda,Davida
12,lavarropas,10 Ridge Oak Park,Bandfield,Natividad
13,televisor,9 Sundown Junction,Sarandi,Hubert
14,televisor,8061 Pepper Wood Alley,Sarandi,Pattin
15,cocina,25945 Clove Center,Lomas,Kelvin
16,sillon,073 Tennessee Lane,Bandfield,Tomlin
17,televisor,652 Sugar Street,Quilmes,Ferdie
18,televisor,3160 Redwing Parkway,Lomas,Elyssa
19,silla,36 Meadow Ridge Parkway,Quilmes,Gus
20,aire acondicionado,52 Meadow Valley Way,Bandfield,Constantina
21,lavarropas,6 Michigan Court,Sarandi,Olive
